stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_desc,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"RWC_SP_01","RWC_SP_01",Maple and Blomquist,37.493465,-122.219467,,"","","","","",""
"SM Norfolk 05","SM Norfolk 05",Marina/Marina Ct,37.550991,-122.286509,,"","","","","",""
"SM Norfolk 04","SM Norfolk 04",Marina/Norfolk,37.549622,-122.287952,,"","","","","",""
"Millbrae_Stn","Millbrae_Stn",Millbrae Intermodal Station,37.599459,-122.386523,,"","","","","",""
"BurlBay_01","BurlBay_01",Millbrae Intermodal Station,37.601286,-122.385193,,"","","","","",""
"NB_02","NB_02",Mills-Peninsula Health Services,37.592945,-122.382999,,"","","","","",""
"BRCR_04","BRCR_04",Old County / San Francisco Ave.,37.684877,-122.402397,,"","","","","",""
"MARI_02","MARI_02",One Franklin Parkway,37.543695,-122.293687,,"","","","","",""
"MARI_09","MARI_09",One Hundred Grand,37.563387,-122.269187,,"","","","","",""
"SSF_OP_05","SSF_OP_05",Oyster Point Blvd./Eccles,37.662415,-122.387961,,"","","","","",""
"SM Campus 07","SM Campus 07",Peninsula Office Park  (End of Cul-De-Sac),37.536602,-122.323631,,"","","","","",""
"SM Campus 06","SM Campus 06",Peninsula Office Park  (Top),37.536539,-122.327282,,"","","","","",""
"quarry_indust","quarry_indust",Quarry & Industrial,37.519205,-122.265081,,"","","","","",""
"Redwood_E","Redwood_E",Redwood City Caltrain Station,37.485618,-122.230864,,"","","","","",""
"BurlBay_05","BurlBay_05",Rollins/Guittard,37.597585,-122.379085,,"","","","","",""
"RWC_SP_04","RWC_SP_04",Saginaw (Cul-de-Sac),37.502553,-122.219631,,"","","","","",""
"BRCR_06","BRCR_06",San Bruno / Alvarado,37.681405,-122.399556,,"","","","","",""
"BRCR_07","BRCR_07",San Bruno / Glen Park Way,37.679899,-122.398425,,"","","","","",""
"BRCR_05","BRCR_05",San Bruno / Mendocino,37.682722,-122.400653,,"","","","","",""
"sancarlos","sancarlos",San Carlos Caltrain Station,37.507174,-122.259485,,"","","","","",""
"MARI_05","MARI_05",Shell & E. Hillsdale Blvd.,37.559062,-122.271998,,"","","","","",""
"Balboa","Balboa",Shuttle Departs Balboa Park BART,37.720713,-122.446914,,"","","","","",""
"NB_05","NB_05",Sisters of Mercy,37.583756,-122.382851,,"","","","","",""
"SSF_Cent_03","SSF_Cent_03",So. San Francisco Business Ctr.,37.660188,-122.403767,,"","","","","",""
"SSF_BART","SSF_BART",South San Francisco BART,37.663636,-122.443379,,"","","","","",""
"SSF_Caltrain","SSF_Caltrain",South San Francisco Caltrain,37.655904,-122.405264,,"","","","","",""
"SSF_Ferry","SSF_Ferry",South San Francisco Ferry Terminal,37.662593,-122.377369,,"","","","","",""
"RWC_MP_ 04","RWC_MP_ 04",Stanford Medical Outpatient - Bldg. D,37.485992,-122.201074,,"","","","","",""
"RWC_MP_ 03","RWC_MP_ 03",Stanford Medical Outpatient Ctr,37.486382,-122.202886,,"","","","","",""
"MARI_06","MARI_06",The Plaza at Triton Park,37.565127,-122.269464,,"","","","","",""
"BRCR_23","BRCR_23",Tunnel & Blanken,37.711918,-122.400767,,"","","","","",""
"BRCR_20","BRCR_20",Tunnel & Recycle - Bayshore Caltrain Stn,37.708505,-122.401267,,"","","","","",""
"SM Norfolk 03","SM Norfolk 03",Waters Business Park,37.551638,-122.290412,,"","","","","",""
"BRCR_16","BRCR_16",W. Hill Dr. & W. Hill PL,37.692651,-122.422206,,"","","","","",""
"SM Campus 08","SM Campus 08",W. Hillsdale/31st Avenue,37.532159,-122.323641,,"","","","","",""
"SM Campus 10","SM Campus 10",W. Hillsdale/Alameda de las Pulgas,37.531729,-122.308356,,"","","","","",""
"SM Campus 09","SM Campus 09",W. Hillsdale/Del Monte Street,37.529915,-122.314093,,"","","","","",""
"SM Campus 23","SM Campus 23",W. Hillsdale/Glendora Dr.,37.532937,-122.326754,,"","","","","",""
