trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
"brisbane_crocker_pm_T11","19:17:00","19:17:00","BRCR_16","17","Valley/West Hill","0","0","11.67400000",1
"brisbane_crocker_pm_T11",,,BRCR_17,18,"Bayshore Caltrain / Bayshore BART","0","0",,1
"brisbane_crocker_pm_T11",,,BRCR_18,19,"Bayshore Caltrain / Bayshore BART","0","0",,1
"brisbane_crocker_pm_T11",,,BRCR_19,20,"Bayshore Caltrain / Bayshore BART","0","0",,1
"brisbane_crocker_pm_T11",,,BRCR_19_99,21,"Bayshore Caltrain / Bayshore BART","0","0",,1
"brisbane_crocker_pm_T11","19:21:00","19:21:00","BRCR_03","22","Bayshore Caltrain / Bayshore BART","0","0","14.65400000",1
"brisbane_crocker_pm_T11","19:29:00","19:29:00","BRCR_20","23","Bayshore Caltrain / Bayshore BART","0","0","18.24700000",1
"brisbane_crocker_pm_T11","19:30:00","19:30:00","BRCR_23","24","Bayshore BART","0","0","18.64100000",1
"brisbane_crocker_pm_T11","19:41:00","19:41:00","Balboa","25","Bayshore BART","0","0","26.03900000",1
"Bayside_Burlingame_pm_T01","15:52:00","15:52:00","BurlBay_10","1","Airport Blvd./Rollins Rd","0","0","5.35000000",1
"Bayside_Burlingame_pm_T01","15:52:00","15:52:00","BurlBay_11","2","Airport Blvd./Rollins Rd","0","0","5.62200000",1
"Bayside_Burlingame_pm_T01","15:53:00","15:53:00","BurlBay_12","3","Airport Blvd./Rollins Rd","0","0","5.97300000",1
"Bayside_Burlingame_pm_T01","15:54:00","15:54:00","BurlBay_13","4","Airport Blvd./Rollins Rd","0","0","6.25000000",1
"Bayside_Burlingame_pm_T01","16:00:00","16:00:00","BurlBay_14","5","Millbrae Intermodal Station","0","0","7.79600000",1
"Bayside_Burlingame_pm_T01","16:01:00","16:01:00","BurlBay_15","6","Millbrae Intermodal Station","0","0","8.42200000",1
"Bayside_Burlingame_pm_T01","16:02:00","16:02:00","BurlBay_16","7","Millbrae Intermodal Station","0","0","8.98400000",1
"Bayside_Burlingame_pm_T01","16:08:00","16:08:00","BurlBay_02","8","Millbrae Intermodal Station","0","0","11.38300000",1
"Bayside_Burlingame_pm_T01","16:09:00","16:09:00","BurlBay_03","9","Millbrae Intermodal Station","0","0","12.08500000",1
"Bayside_Burlingame_pm_T01","16:10:00","16:10:00","BurlBay_04","10","Millbrae Intermodal Station","0","0","12.39500000",1
"Bayside_Burlingame_pm_T01","16:11:00","16:11:00","BurlBay_05","11","Millbrae Intermodal Station","0","0","12.95100000",1
"Bayside_Burlingame_pm_T01","16:15:00","16:15:00","BurlBay_01","12","Millbrae Intermodal Station","0","0","13.64600000",1
"Bayside_Burlingame_pm_T02","16:12:00","16:12:00","BurlBay_10","1","Airport Blvd./Rollins Rd","0","0","5.35000000",1
"Bayside_Burlingame_pm_T02","16:12:00","16:12:00","BurlBay_11","2","Airport Blvd./Rollins Rd","0","0","5.62200000",1
"Bayside_Burlingame_pm_T02","16:13:00","16:13:00","BurlBay_12","3","Airport Blvd./Rollins Rd","0","0","5.97300000",1
"Bayside_Burlingame_pm_T02","16:14:00","16:14:00","BurlBay_13","4","Airport Blvd./Rollins Rd","0","0","6.25000000",1
"Bayside_Burlingame_pm_T02","16:20:00","16:20:00","BurlBay_14","5","Millbrae Intermodal Station","0","0","7.79600000",1
"Bayside_Burlingame_pm_T02","16:21:00","16:21:00","BurlBay_15","6","Millbrae Intermodal Station","0","0","8.42200000",1
"Bayside_Burlingame_pm_T02","16:22:00","16:22:00","BurlBay_16","7","Millbrae Intermodal Station","0","0","8.98400000",1
"Bayside_Burlingame_pm_T02","16:28:00","16:28:00","BurlBay_02","8","Millbrae Intermodal Station","0","0","11.38300000",1
"Bayside_Burlingame_pm_T02","16:29:00","16:29:00","BurlBay_03","9","Millbrae Intermodal Station","0","0","12.08500000",1
"Bayside_Burlingame_pm_T02","16:30:00","16:30:00","BurlBay_04","10","Millbrae Intermodal Station","0","0","12.39500000",1
"Bayside_Burlingame_pm_T02","16:31:00","16:31:00","BurlBay_05","11","Millbrae Intermodal Station","0","0","12.95100000",1
"Bayside_Burlingame_pm_T02","16:35:00","16:35:00","BurlBay_01","12","Millbrae Intermodal Station","0","0","13.64600000",1
"Bayside_Burlingame_pm_T03","16:21:00","16:21:00","BurlBay_01","1","Airport Blvd./Rollins Rd","0","0","0.00000000",1
"Bayside_Burlingame_pm_T03","16:32:00","16:32:00","BurlBay_10","2","Airport Blvd./Rollins Rd","0","0","5.35000000",1
"Bayside_Burlingame_pm_T03","16:32:00","16:32:00","BurlBay_11","3","Airport Blvd./Rollins Rd","0","0","5.62200000",1
"Bayside_Burlingame_pm_T03","16:33:00","16:33:00","BurlBay_12","4","Airport Blvd./Rollins Rd","0","0","5.97300000",1
"Bayside_Burlingame_pm_T03","16:34:00","16:34:00","BurlBay_13","5","Airport Blvd./Rollins Rd","0","0","6.25000000",1
"Bayside_Burlingame_pm_T03","16:40:00","16:40:00","BurlBay_14","6","Millbrae Intermodal Station","0","0","7.79600000",1
"Bayside_Burlingame_pm_T03","16:41:00","16:41:00","BurlBay_15","7","Millbrae Intermodal Station","0","0","8.42200000",1
"Bayside_Burlingame_pm_T03","16:42:00","16:42:00","BurlBay_16","8","Millbrae Intermodal Station","0","0","8.98400000",1
"Bayside_Burlingame_pm_T03","16:48:00","16:48:00","BurlBay_02","9","Millbrae Intermodal Station","0","0","11.38300000",1
"Bayside_Burlingame_pm_T03","16:49:00","16:49:00","BurlBay_03","10","Millbrae Intermodal Station","0","0","12.08500000",1
"Bayside_Burlingame_pm_T03","16:50:00","16:50:00","BurlBay_04","11","Millbrae Intermodal Station","0","0","12.39500000",1
"Bayside_Burlingame_pm_T03","16:51:00","16:51:00","BurlBay_05","12","Millbrae Intermodal Station","0","0","12.95100000",1
"Bayside_Burlingame_pm_T03","16:55:00","16:55:00","BurlBay_01","13","Millbrae Intermodal Station","0","0","13.64600000",1
"Bayside_Burlingame_pm_T04","16:41:00","16:41:00","BurlBay_01","1","Airport Blvd./Rollins Rd","0","0","0.00000000",1
"Bayside_Burlingame_pm_T04","16:52:00","16:52:00","BurlBay_10","2","Airport Blvd./Rollins Rd","0","0","5.35000000",1
"Bayside_Burlingame_pm_T04","16:52:00","16:52:00","BurlBay_11","3","Airport Blvd./Rollins Rd","0","0","5.62200000",1
"Bayside_Burlingame_pm_T04","16:53:00","16:53:00","BurlBay_12","4","Airport Blvd./Rollins Rd","0","0","5.97300000",1
"Bayside_Burlingame_pm_T04","16:54:00","16:54:00","BurlBay_13","5","Airport Blvd./Rollins Rd","0","0","6.25000000",1
"Bayside_Burlingame_pm_T04","17:00:00","17:00:00","BurlBay_14","6","Millbrae Intermodal Station","0","0","7.79600000",1
"Bayside_Burlingame_pm_T04","17:01:00","17:01:00","BurlBay_15","7","Millbrae Intermodal Station","0","0","8.42200000",1
"Bayside_Burlingame_pm_T04","17:02:00","17:02:00","BurlBay_16","8","Millbrae Intermodal Station","0","0","8.98400000",1
"Bayside_Burlingame_pm_T04","17:08:00","17:08:00","BurlBay_02","9","Millbrae Intermodal Station","0","0","11.38300000",1
"Bayside_Burlingame_pm_T04","17:09:00","17:09:00","BurlBay_03","10","Millbrae Intermodal Station","0","0","12.08500000",1
"Bayside_Burlingame_pm_T04","17:10:00","17:10:00","BurlBay_04","11","Millbrae Intermodal Station","0","0","12.39500000",1
"Bayside_Burlingame_pm_T04","17:11:00","17:11:00","BurlBay_05","12","Millbrae Intermodal Station","0","0","12.95100000",1
"Bayside_Burlingame_pm_T04","17:15:00","17:15:00","BurlBay_01","13","Millbrae Intermodal Station","0","0","13.64600000",1
"Bayside_Burlingame_pm_T05","17:01:00","17:01:00","BurlBay_01","1","Airport Blvd./Rollins Rd","0","0","0.00000000",1
"Bayside_Burlingame_pm_T05","17:12:00","17:12:00","BurlBay_10","2","Airport Blvd./Rollins Rd","0","0","5.35000000",1
"Bayside_Burlingame_pm_T05","17:12:00","17:12:00","BurlBay_11","3","Airport Blvd./Rollins Rd","0","0","5.62200000",1
"Bayside_Burlingame_pm_T05","17:13:00","17:13:00","BurlBay_12","4","Airport Blvd./Rollins Rd","0","0","5.97300000",1
"Bayside_Burlingame_pm_T05","17:14:00","17:14:00","BurlBay_13","5","Airport Blvd./Rollins Rd","0","0","6.25000000",1
"Bayside_Burlingame_pm_T05","17:20:00","17:20:00","BurlBay_14","6","Millbrae Intermodal Station","0","0","7.79600000",1
"Bayside_Burlingame_pm_T05","17:21:00","17:21:00","BurlBay_15","7","Millbrae Intermodal Station","0","0","8.42200000",1
