route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name,bikes_allowed,wheelchair_accessible
14,72990,556195,,1,103685,35730,,0,0
14,72991,556223,,1,103687,35730,,0,0
14,72989,556170,,1,103726,35730,,0,0
14,73738,556258,,1,103731,35730,,0,0
70X,72989,557298,,0,103874,35803,,0,0
70X,73738,557310,,0,103877,35803,,0,0
70X,72989,557297,,0,103873,35803,,0,0
70X,73738,557309,,0,103876,35803,,0,0
70X,72989,557296,,0,103872,35803,,0,0
70X,73738,557308,,0,103875,35803,,0,0
70X,72989,557299,,0,103874,35802,,0,0
70X,73738,557311,,0,103877,35802,,0,0
70X,72989,557300,,0,103873,35802,,0,0
70X,73738,557312,,0,103876,35802,,0,0
70X,72989,557301,,0,103872,35802,,0,0
70X,73738,557313,,0,103875,35802,,0,0
70X,72989,557303,,1,103827,35804,,0,0
70X,73738,557315,,1,103829,35804,,0,0
70X,72989,557302,,1,103854,35804,,0,0
70X,73738,557314,,1,103857,35804,,0,0
70X,72989,557307,,1,103861,35805,,0,0
70X,73738,557319,,1,103864,35805,,0,0
70X,72989,557306,,1,103827,35805,,0,0
70X,73738,557318,,1,103829,35805,,0,0
70X,72989,557305,,1,103854,35805,,0,0
70X,73738,557317,,1,103857,35805,,0,0
70X,72989,557304,,1,103861,35805,,0,0
70X,73738,557316,,1,103864,35805,,0,0
20X,72989,556483,,0,103748,35737,,0,0
20X,73738,556487,,0,103752,35737,,0,0
20X,72989,556484,,0,103749,35737,,0,0
20X,73738,556488,,0,103753,35737,,0,0
20X,72989,556485,,1,103750,35738,,0,0
20X,73738,556489,,1,103754,35738,,0,0
20X,72989,556486,,1,103751,35738,,0,0
20X,73738,556490,,1,103755,35738,,0,0
3,72989,556492,,0,103692,35739,,0,0
3,73738,556638,,0,103707,35739,,0,0
3,72989,556493,,0,103757,35739,,0,0
3,73738,556639,,0,103766,35739,,0,0
3,73738,556640,,0,103767,35739,,0,0
3,72989,556494,,0,103758,35739,,0,0
3,72989,556495,,0,103759,35739,,0,0
3,73738,556641,,0,103768,35739,,0,0
3,72989,556496,,0,103692,35739,,0,0
3,73738,556642,,0,103707,35739,,0,0
3,72990,556550,,0,103761,35740,,0,0
3,72991,556596,,0,103763,35740,,0,0
3,72989,556497,,0,103757,35740,,0,0
3,73738,556643,,0,103766,35740,,0,0
3,72991,556597,,0,103764,35740,,0,0
3,72990,556551,,0,103762,35740,,0,0
3,73738,556644,,0,103767,35740,,0,0
3,72989,556498,,0,103758,35740,,0,0
3,72991,556598,,0,103764,35740,,0,0
3,72990,556552,,0,103762,35740,,0,0
3,72989,556499,,0,103692,35740,,0,0
3,73738,556645,,0,103707,35740,,0,0
3,72991,556599,,0,103764,35740,,0,0
3,72990,556553,,0,103762,35740,,0,0
3,72990,556554,,0,103761,35740,,0,0
3,72991,556600,,0,103763,35740,,0,0
3,73738,556646,,0,103767,35740,,0,0
3,72989,556500,,0,103758,35740,,0,0
3,72991,556601,,0,103763,35740,,0,0
3,72990,556555,,0,103761,35740,,0,0
3,73738,556647,,0,103707,35739,,0,0
3,72989,556501,,0,103692,35739,,0,0
3,72990,556556,,0,103761,35740,,0,0
3,72991,556602,,0,103763,35740,,0,0
3,72990,556557,,0,103762,35740,,0,0
3,72991,556603,,0,103764,35740,,0,0
3,72989,556502,,0,103758,35739,,0,0
3,73738,556648,,0,103767,35739,,0,0
3,72990,556558,,0,103762,35740,,0,0
3,72991,556604,,0,103764,35740,,0,0
3,73738,556649,,0,103707,35739,,0,0
3,72989,556503,,0,103692,35739,,0,0
3,72991,556605,,0,103764,35740,,0,0
3,72990,556559,,0,103762,35740,,0,0
3,73738,556637,,0,103765,35739,,0,0
3,72989,556491,,0,103756,35739,,0,0
3,72991,556606,,0,103763,35740,,0,0
3,72990,556560,,0,103761,35740,,0,0
3,73738,556650,,0,103767,35739,,0,0
3,72989,556504,,0,103758,35739,,0,0
3,72991,556607,,0,103763,35740,,0,0
3,72990,556561,,0,103761,35740,,0,0
3,72989,556505,,0,103760,35739,,0,0
3,73738,556651,,0,103769,35739,,0,0
3,73738,556652,,0,103707,35739,,0,0
3,72989,556506,,0,103692,35739,,0,0
3,72991,556608,,0,103763,35740,,0,0
3,72990,556562,,0,103761,35740,,0,0
3,72989,556507,,0,103756,35739,,0,0
3,73738,556653,,0,103765,35739,,0,0
3,72991,556609,,0,103764,35740,,0,0
3,72990,556563,,0,103762,35740,,0,0
3,73738,556654,,0,103767,35739,,0,0
3,72989,556508,,0,103758,35739,,0,0
3,72991,556610,,0,103764,35740,,0,0
3,72990,556564,,0,103762,35740,,0,0
3,73738,556655,,0,103769,35739,,0,0
3,72989,556509,,0,103760,35739,,0,0
3,73738,556656,,0,103707,35740,,0,0
3,72989,556510,,0,103692,35740,,0,0
3,72990,556565,,0,103762,35740,,0,0
3,72991,556611,,0,103764,35740,,0,0
3,72989,556511,,0,103756,35740,,0,0
3,73738,556657,,0,103765,35740,,0,0
3,72991,556612,,0,103763,35740,,0,0
3,72990,556566,,0,103761,35740,,0,0
3,73738,556658,,0,103767,35740,,0,0
3,72989,556512,,0,103758,35740,,0,0
3,72991,556613,,0,103763,35740,,0,0
3,72990,556567,,0,103761,35740,,0,0
3,72991,556591,,0,103704,35740,,0,0
3,72990,556545,,0,103701,35740,,0,0
3,73738,556659,,0,103707,35740,,0,0
3,72989,556513,,0,103692,35740,,0,0
3,72991,556592,,0,103705,35740,,0,0
3,72990,556546,,0,103702,35740,,0,0
3,72989,556514,,0,103698,35740,,0,0
3,73738,556660,,0,103708,35740,,0,0
3,72991,556593,,0,103704,35740,,0,0
3,72990,556547,,0,103701,35740,,0,0
3,73738,556661,,0,103707,35740,,0,0
3,72989,556515,,0,103692,35740,,0,0
3,72991,556594,,0,103705,35740,,0,0
3,72990,556548,,0,103702,35740,,0,0
3,73738,556662,,0,103708,35740,,0,0
3,72989,556516,,0,103698,35740,,0,0
3,72990,556549,,0,103701,35740,,0,0
3,72991,556595,,0,103704,35740,,0,0
3,72989,556517,,0,103692,35740,,0,0
3,73738,556663,,0,103707,35740,,0,0
3,72989,556518,,1,103692,35742,,0,0
3,73738,556664,,1,103707,35742,,0,0
3,72989,556519,,1,103757,35742,,0,0
3,73738,556665,,1,103766,35742,,0,0
3,73738,556666,,1,103767,35742,,0,0
3,72989,556520,,1,103758,35742,,0,0
3,72989,556521,,1,103759,35742,,0,0
3,73738,556667,,1,103768,35742,,0,0
3,72989,556522,,1,103692,35742,,0,0
3,73738,556668,,1,103707,35742,,0,0
3,72990,556573,,1,103761,35743,,0,0
3,72991,556619,,1,103763,35743,,0,0
3,72989,556523,,1,103757,35743,,0,0
3,73738,556669,,1,103766,35743,,0,0
3,72991,556620,,1,103764,35743,,0,0
3,72990,556574,,1,103762,35743,,0,0
3,73738,556670,,1,103767,35743,,0,0
3,72989,556524,,1,103758,35743,,0,0
3,72991,556621,,1,103764,35743,,0,0
3,72990,556575,,1,103762,35743,,0,0
3,72989,556525,,1,103692,35743,,0,0
3,73738,556671,,1,103707,35743,,0,0
3,72991,556622,,1,103764,35743,,0,0
3,72990,556576,,1,103762,35743,,0,0
3,72990,556577,,1,103761,35743,,0,0
3,72991,556623,,1,103763,35743,,0,0
3,73738,556672,,1,103767,35743,,0,0
3,72989,556526,,1,103758,35743,,0,0
3,72991,556624,,1,103763,35743,,0,0
3,72990,556578,,1,103761,35743,,0,0
3,73738,556673,,1,103707,35742,,0,0
3,72989,556527,,1,103692,35742,,0,0
3,72990,556579,,1,103761,35743,,0,0
3,72991,556625,,1,103763,35743,,0,0
3,72990,556580,,1,103762,35743,,0,0
3,72991,556626,,1,103764,35743,,0,0
3,72989,556528,,1,103758,35742,,0,0
3,73738,556674,,1,103767,35742,,0,0
3,72990,556581,,1,103762,35743,,0,0
3,72991,556627,,1,103764,35743,,0,0
3,73738,556675,,1,103707,35742,,0,0
3,72989,556529,,1,103692,35742,,0,0
3,72991,556628,,1,103764,35743,,0,0
3,72990,556582,,1,103762,35743,,0,0
3,73738,556676,,1,103765,35742,,0,0
3,72989,556530,,1,103756,35742,,0,0
3,72991,556629,,1,103763,35743,,0,0
3,72990,556583,,1,103761,35743,,0,0
3,73738,556688,,1,103767,35742,,0,0
3,72989,556542,,1,103758,35742,,0,0
3,72991,556630,,1,103763,35743,,0,0
3,72990,556584,,1,103761,35743,,0,0
3,72989,556531,,1,103760,35742,,0,0
3,73738,556677,,1,103769,35742,,0,0
3,73738,556689,,1,103707,35742,,0,0
3,72989,556543,,1,103692,35742,,0,0
3,72991,556631,,1,103763,35743,,0,0
3,72990,556585,,1,103761,35743,,0,0
3,72989,556532,,1,103756,35742,,0,0
3,73738,556678,,1,103765,35742,,0,0
3,72991,556632,,1,103764,35743,,0,0
3,72990,556586,,1,103762,35743,,0,0
3,73738,556690,,1,103767,35742,,0,0
3,72989,556544,,1,103758,35742,,0,0
3,72991,556633,,1,103764,35743,,0,0
3,72990,556587,,1,103762,35743,,0,0
3,73738,556679,,1,103769,35742,,0,0
3,72989,556533,,1,103760,35742,,0,0
3,73738,556680,,1,103707,35743,,0,0
3,72989,556534,,1,103692,35743,,0,0
3,72990,556588,,1,103762,35743,,0,0
3,72991,556634,,1,103764,35743,,0,0
3,72989,556535,,1,103756,35743,,0,0
3,73738,556681,,1,103765,35743,,0,0
3,72991,556635,,1,103763,35743,,0,0
3,72990,556589,,1,103761,35743,,0,0
3,73738,556682,,1,103767,35743,,0,0
3,72989,556536,,1,103758,35743,,0,0
3,72991,556636,,1,103763,35743,,0,0
3,72990,556590,,1,103761,35743,,0,0
3,72991,556614,,1,103704,35743,,0,0
3,72990,556568,,1,103701,35743,,0,0
3,73738,556683,,1,103707,35743,,0,0
3,72989,556537,,1,103692,35743,,0,0
3,72991,556615,,1,103705,35743,,0,0
3,72990,556569,,1,103702,35743,,0,0
3,72989,556538,,1,103698,35743,,0,0
3,73738,556684,,1,103708,35743,,0,0
3,72991,556616,,1,103704,35743,,0,0
3,72990,556570,,1,103701,35743,,0,0
3,73738,556685,,1,103707,35743,,0,0
3,72989,556539,,1,103692,35743,,0,0
3,72991,556617,,1,103705,35743,,0,0
3,72990,556571,,1,103702,35743,,0,0
3,73738,556686,,1,103708,35743,,0,0
3,72989,556540,,1,103698,35743,,0,0
3,72990,556572,,1,103701,35743,,0,0
3,72991,556618,,1,103704,35743,,0,0
3,72989,556541,,1,103692,35743,,0,0
3,73738,556687,,1,103707,35743,,0,0
30R,72989,556737,,0,103772,35748,,0,0
30R,73738,556935,,0,103789,35748,,0,0
30R,72989,556796,,0,103780,35745,,0,0
30R,73738,556994,,0,103797,35745,,0,0
30R,72990,556875,,0,103783,35746,,0,0
30R,72991,556914,,0,103787,35746,,0,0
30R,73738,556937,,0,103791,35745,,0,0
30R,72989,556739,,0,103774,35745,,0,0
30R,73738,556938,,0,103792,35745,,0,0
30R,72989,556740,,0,103775,35745,,0,0
30R,72989,556741,,0,103749,35745,,0,0
30R,73738,556939,,0,103753,35745,,0,0
30R,73738,556940,,0,103793,35745,,0,0
30R,72989,556742,,0,103776,35745,,0,0
30R,72990,556874,,0,103784,35746,,0,0
30R,72991,556913,,0,103788,35746,,0,0
30R,73738,556941,,0,103790,35745,,0,0
30R,72989,556743,,0,103773,35745,,0,0
30R,73738,556942,,0,103794,35745,,0,0
30R,72989,556744,,0,103777,35745,,0,0
30R,73738,556943,,0,103795,35745,,0,0
30R,72989,556745,,0,103778,35745,,0,0
30R,73738,556944,,0,103796,35745,,0,0
30R,72989,556746,,0,103779,35745,,0,0
30R,72990,556873,,0,103783,35746,,0,0
30R,72991,556912,,0,103787,35746,,0,0
30R,72989,556747,,0,103780,35745,,0,0
30R,73738,556945,,0,103797,35745,,0,0
30R,72989,556748,,0,103772,35745,,0,0
30R,73738,556946,,0,103789,35745,,0,0
30R,73738,556947,,0,103791,35745,,0,0
30R,72989,556749,,0,103774,35745,,0,0
30R,73738,556948,,0,103792,35745,,0,0
30R,72989,556750,,0,103775,35745,,0,0
30R,72991,556911,,0,103788,35746,,0,0
30R,72990,556872,,0,103784,35746,,0,0
30R,72989,556751,,0,103776,35745,,0,0
30R,73738,556949,,0,103793,35745,,0,0
30R,72989,556752,,0,103773,35745,,0,0
30R,73738,556950,,0,103790,35745,,0,0
30R,73738,556951,,0,103794,35745,,0,0
30R,72989,556753,,0,103777,35745,,0,0
30R,72989,556754,,0,103778,35745,,0,0
30R,73738,556952,,0,103795,35745,,0,0
30R,72991,556910,,0,103787,35746,,0,0
30R,72990,556871,,0,103783,35746,,0,0
30R,73738,556953,,0,103796,35745,,0,0
30R,72989,556755,,0,103779,35745,,0,0
30R,72989,556756,,0,103780,35745,,0,0
30R,73738,556954,,0,103797,35745,,0,0
30R,72989,556757,,0,103772,35745,,0,0
30R,73738,556955,,0,103789,35745,,0,0
30R,72989,556758,,0,103774,35745,,0,0
30R,73738,556956,,0,103791,35745,,0,0
30R,72990,556870,,0,103784,35746,,0,0
30R,72991,556909,,0,103788,35746,,0,0
30R,73738,556957,,0,103792,35745,,0,0
30R,72989,556759,,0,103775,35745,,0,0
30R,72989,556760,,0,103776,35745,,0,0
30R,73738,556958,,0,103793,35745,,0,0
30R,73738,556959,,0,103790,35745,,0,0
30R,72989,556761,,0,103773,35745,,0,0
30R,73738,556960,,0,103794,35745,,0,0
30R,72989,556762,,0,103777,35745,,0,0
30R,72991,556901,,0,103787,35746,,0,0
30R,72990,556862,,0,103783,35746,,0,0
30R,73738,556961,,0,103795,35745,,0,0
30R,72989,556763,,0,103778,35745,,0,0
30R,73738,556962,,0,103796,35745,,0,0
30R,72989,556764,,0,103779,35745,,0,0
30R,72990,556869,,0,103782,35746,,0,0
30R,72991,556908,,0,103786,35746,,0,0
30R,72989,556765,,0,103780,35745,,0,0
30R,73738,556963,,0,103797,35745,,0,0
30R,72989,556766,,0,103772,35745,,0,0
30R,73738,556964,,0,103789,35745,,0,0
30R,72989,556767,,0,103774,35745,,0,0
30R,73738,556965,,0,103791,35745,,0,0
30R,72989,556768,,0,103775,35745,,0,0
30R,73738,556966,,0,103792,35745,,0,0
30R,72991,556907,,0,103785,35746,,0,0
30R,72990,556868,,0,103781,35746,,0,0
30R,72989,556769,,0,103776,35745,,0,0
30R,73738,556967,,0,103793,35745,,0,0
30R,73738,556968,,0,103790,35745,,0,0
30R,72989,556770,,0,103773,35745,,0,0
30R,73738,556969,,0,103794,35745,,0,0
30R,72989,556771,,0,103777,35745,,0,0
30R,73738,556970,,0,103795,35745,,0,0
30R,72989,556772,,0,103778,35745,,0,0
30R,72990,556867,,0,103782,35746,,0,0
30R,72991,556906,,0,103786,35746,,0,0
30R,73738,556971,,0,103796,35745,,0,0
30R,72989,556773,,0,103779,35745,,0,0
30R,72989,556774,,0,103780,35745,,0,0
30R,73738,556972,,0,103797,35745,,0,0
30R,73738,556973,,0,103789,35745,,0,0
30R,72989,556775,,0,103772,35745,,0,0
30R,73738,556974,,0,103791,35745,,0,0
30R,72989,556776,,0,103774,35745,,0,0
30R,72991,556905,,0,103785,35746,,0,0
30R,72990,556866,,0,103781,35746,,0,0
30R,72989,556777,,0,103775,35745,,0,0
30R,73738,556975,,0,103792,35745,,0,0
30R,72989,556778,,0,103776,35745,,0,0
30R,73738,556976,,0,103793,35745,,0,0
30R,72989,556779,,0,103773,35745,,0,0
30R,73738,556977,,0,103790,35745,,0,0
30R,72989,556780,,0,103777,35745,,0,0
30R,73738,556978,,0,103794,35745,,0,0
30R,72991,556904,,0,103786,35746,,0,0
30R,72990,556865,,0,103782,35746,,0,0
30R,72989,556781,,0,103778,35745,,0,0
30R,73738,556979,,0,103795,35745,,0,0
30R,73738,556980,,0,103796,35745,,0,0
30R,72989,556782,,0,103779,35745,,0,0
30R,73738,556981,,0,103797,35745,,0,0
30R,72989,556783,,0,103780,35745,,0,0
30R,73738,556982,,0,103789,35745,,0,0
30R,72989,556784,,0,103772,35745,,0,0
30R,72991,556903,,0,103785,35746,,0,0
30R,72990,556864,,0,103781,35746,,0,0
30R,73738,556983,,0,103791,35745,,0,0
30R,72989,556785,,0,103774,35745,,0,0
30R,72989,556786,,0,103775,35745,,0,0
30R,73738,556984,,0,103792,35745,,0,0
30R,73738,556985,,0,103793,35745,,0,0
30R,72989,556787,,0,103776,35745,,0,0
30R,72989,556788,,0,103773,35745,,0,0
30R,73738,556986,,0,103790,35745,,0,0
30R,72990,556863,,0,103782,35746,,0,0
30R,72991,556902,,0,103786,35746,,0,0
30R,72989,556789,,0,103777,35745,,0,0
30R,73738,556987,,0,103794,35745,,0,0
30R,72989,556790,,0,103778,35745,,0,0
30R,73738,556988,,0,103795,35745,,0,0
30R,73738,556989,,0,103796,35745,,0,0
30R,72989,556791,,0,103779,35745,,0,0
30R,72990,556861,,0,103781,35746,,0,0
30R,72991,556900,,0,103785,35746,,0,0
30R,73738,556990,,0,103789,35745,,0,0
30R,72989,556792,,0,103772,35745,,0,0
30R,72989,556793,,0,103775,35745,,0,0
30R,73738,556991,,0,103792,35745,,0,0
30R,72991,556899,,0,103786,35746,,0,0
30R,72990,556860,,0,103782,35746,,0,0
30R,73738,556992,,0,103790,35745,,0,0
30R,72989,556794,,0,103773,35745,,0,0
30R,72991,556898,,0,103785,35746,,0,0
30R,72990,556859,,0,103781,35746,,0,0
30R,73738,556993,,0,103789,35745,,0,0
30R,72989,556795,,0,103772,35745,,0,0
30R,72991,556897,,0,103786,35746,,0,0
30R,72990,556858,,0,103782,35746,,0,0
30R,73738,556936,,0,103790,35745,,0,0
30R,72989,556738,,0,103773,35745,,0,0
30R,72991,556896,,0,103785,35746,,0,0
30R,72990,556857,,0,103781,35746,,0,0
30R,72989,556797,,1,103774,35749,,0,0
30R,73738,556995,,1,103791,35749,,0,0
30R,72990,556895,,1,103783,35750,,0,0
30R,72991,556934,,1,103787,35750,,0,0
30R,73738,556996,,1,103792,35749,,0,0
30R,72989,556798,,1,103775,35749,,0,0
30R,73738,556997,,1,103753,35749,,0,0
30R,72989,556799,,1,103749,35749,,0,0
30R,73738,556999,,1,103793,35749,,0,0
30R,72989,556801,,1,103776,35749,,0,0
30R,73738,557000,,1,103790,35749,,0,0
30R,72989,556802,,1,103773,35749,,0,0
30R,72991,556933,,1,103788,35750,,0,0
30R,72990,556894,,1,103784,35750,,0,0
30R,73738,557001,,1,103794,35749,,0,0
30R,72989,556803,,1,103777,35749,,0,0
30R,72989,556804,,1,103778,35749,,0,0
30R,73738,557002,,1,103795,35749,,0,0
30R,73738,556998,,1,103796,35749,,0,0
30R,72989,556800,,1,103779,35749,,0,0
30R,73738,557003,,1,103797,35749,,0,0
30R,72989,556805,,1,103780,35749,,0,0
30R,72991,556932,,1,103787,35750,,0,0
30R,72990,556893,,1,103783,35750,,0,0
30R,73738,557004,,1,103789,35749,,0,0
30R,72989,556806,,1,103772,35749,,0,0
30R,73738,557005,,1,103791,35749,,0,0
30R,72989,556807,,1,103774,35749,,0,0
30R,73738,557006,,1,103792,35749,,0,0
30R,72989,556808,,1,103775,35749,,0,0
30R,73738,557007,,1,103793,35749,,0,0
30R,72989,556809,,1,103776,35749,,0,0
30R,72990,556892,,1,103784,35750,,0,0
30R,72991,556931,,1,103788,35750,,0,0
30R,72989,556810,,1,103773,35749,,0,0
30R,73738,557008,,1,103790,35749,,0,0
30R,72989,556811,,1,103777,35749,,0,0
30R,73738,557009,,1,103794,35749,,0,0
30R,72989,556812,,1,103778,35749,,0,0
30R,73738,557010,,1,103795,35749,,0,0
30R,72989,556813,,1,103779,35749,,0,0
30R,73738,557011,,1,103796,35749,,0,0
30R,72990,556891,,1,103783,35750,,0,0
30R,72991,556930,,1,103787,35750,,0,0
30R,72989,556814,,1,103780,35749,,0,0
30R,73738,557012,,1,103797,35749,,0,0
30R,72989,556815,,1,103772,35749,,0,0
30R,73738,557013,,1,103789,35749,,0,0
30R,72989,556816,,1,103774,35749,,0,0
30R,73738,557014,,1,103791,35749,,0,0
30R,73738,557015,,1,103792,35749,,0,0
30R,72989,556817,,1,103775,35749,,0,0
30R,72991,556929,,1,103788,35750,,0,0
30R,72990,556890,,1,103784,35750,,0,0
30R,73738,557016,,1,103793,35749,,0,0
30R,72989,556818,,1,103776,35749,,0,0
30R,73738,557017,,1,103790,35749,,0,0
30R,72989,556819,,1,103773,35749,,0,0
30R,73738,557018,,1,103794,35749,,0,0
30R,72989,556820,,1,103777,35749,,0,0
30R,72989,556821,,1,103778,35749,,0,0
30R,73738,557019,,1,103795,35749,,0,0
30R,72991,556928,,1,103787,35750,,0,0
30R,72990,556889,,1,103783,35750,,0,0
30R,73738,557020,,1,103796,35749,,0,0
30R,72989,556822,,1,103779,35749,,0,0
30R,73738,557021,,1,103797,35749,,0,0
30R,72989,556823,,1,103780,35749,,0,0
