shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence,shape_dist_traveled
p_110937,-122.643533,38.240726,113,4147.96146982
p_110937,-122.643416,38.240726,114,4158.20418473
p_110937,-122.643401,38.240726,115,4159.51735331
p_110937,-122.642307,38.240733,116,4255.29426217
p_110937,-122.642163,38.240739,117,4267.91825933
p_110937,-122.641412,38.240742,118,4333.66506305
p_110937,-122.641218,38.2407,119,4351.27696110
p_110937,-122.641124,38.240674,120,4359.99755671
p_110937,-122.640944,38.240606,121,4377.47008481
p_110937,-122.640257,38.240296,122,4446.76144319
p_110937,-122.639862,38.240107,123,4487.20804365
p_110937,-122.639422,38.239925,124,4530.70422357
p_110937,-122.639248,38.239846,125,4548.28088305
p_110937,-122.638962,38.239726,126,4576.64160594
p_110937,-122.636336,38.238247,127,4859.13907352
p_110937,-122.636205,38.238173,128,4873.24591091
p_110937,-122.636046,38.238084,129,4890.31532991
p_110937,-122.635883,38.237993,130,4907.79884226
p_110937,-122.635573,38.23782,131,4941.04540650
p_110937,-122.634153,38.237028,132,5093.30783747
p_110937,-122.633989,38.236937,133,5110.86304924
p_110937,-122.634072,38.236866,134,5121.58286390
p_110937,-122.634101,38.236841,135,5125.34410176
p_110937,-122.634149,38.236801,136,5131.45751381
p_110937,-122.634193,38.236752,137,5138.12253023
p_110937,-122.634278,38.236658,138,5150.93850136
p_110937,-122.634346,38.236587,139,5160.81543382
p_110937,-122.634478,38.236449,140,5180.00394619
p_110937,-122.63457,38.236351,141,5193.53942342
p_110953,-122.639537,38.273468,1,0.00000000
p_110953,-122.640596,38.272312,2,158.28139091
p_110953,-122.640876,38.272468,3,188.28460911
p_110953,-122.641182,38.272656,4,222.23297443
p_110953,-122.64148,38.272801,5,252.87703432
p_110953,-122.642187,38.271981,6,362.93351972
p_110953,-122.642429,38.271706,7,400.08534088
p_110953,-122.642592,38.271603,8,418.36568438
p_110953,-122.64261,38.271592,9,420.35865631
p_110953,-122.642953,38.271464,10,453.56679193
p_110953,-122.643348,38.271444,11,488.20355747
p_110953,-122.643614,38.271444,12,511.48061202
p_110953,-122.643803,38.27141,13,528.44471561
p_110953,-122.644051,38.271316,14,552.52470135
p_110953,-122.64424,38.271228,15,571.73290492
p_110953,-122.644427,38.271017,16,600.30457311
p_110953,-122.644515,38.270878,17,617.54876698
p_110953,-122.644069,38.270621,18,665.89193404
p_110953,-122.643803,38.270406,19,699.22944681
p_110953,-122.643588,38.270103,20,737.76768008
p_110953,-122.643509,38.269858,21,765.82801232
p_110953,-122.643476,38.269759,22,777.19027791
p_110953,-122.643391,38.269179,23,841.99947257
p_110953,-122.643288,38.268903,24,873.93434320
p_110953,-122.642361,38.269038,25,956.42920498
p_110953,-122.641906,38.269058,26,996.30836886
p_110953,-122.641262,38.268977,27,1053.37793021
p_110953,-122.640593,38.268735,28,1117.79124098
p_110953,-122.640325,38.268582,29,1146.74762254
p_110953,-122.639314,38.268007,30,1255.84123697
p_110953,-122.638028,38.26729,31,1393.68062366
p_110953,-122.637743,38.267121,32,1424.88912957
p_110953,-122.637532,38.267012,33,1446.96524493
p_110953,-122.637105,38.266769,34,1493.05146900
p_110953,-122.635494,38.26585,35,1667.07116488
p_110953,-122.635146,38.265639,36,1705.49081263
p_110953,-122.634451,38.265218,37,1782.19328246
p_110953,-122.633323,38.264541,38,1906.25934446
p_110953,-122.632921,38.264325,39,1948.83399633
p_110953,-122.632112,38.26389,40,2034.53269304
p_110953,-122.631888,38.26377,41,2058.23364599
p_110953,-122.629553,38.262517,42,2305.42802725
p_110953,-122.629101,38.26225,43,2354.85718952
p_110953,-122.628196,38.261716,44,2453.78591526
p_110953,-122.626739,38.260897,45,2610.39086520
p_110953,-122.626428,38.260723,46,2643.76611078
p_110953,-122.625454,38.260178,47,2748.29606449
p_110953,-122.624703,38.259758,48,2828.87976984
p_110953,-122.623396,38.259016,49,2969.83751107
p_110953,-122.623097,38.258841,50,3002.42849517
p_110953,-122.622,38.258197,51,3122.13055032
p_110953,-122.62134,38.257799,52,3194.85348324
p_110953,-122.620798,38.257524,53,3251.26426582
p_110953,-122.62057,38.257401,54,3275.44347915
p_110953,-122.620408,38.257316,55,3292.47477747
p_110953,-122.619966,38.257057,56,3340.67363358
p_110953,-122.61948,38.256775,57,3393.48702614
p_110953,-122.619177,38.256599,58,3426.42614845
p_110953,-122.618533,38.256245,59,3495.13747944
p_110953,-122.618362,38.256151,60,3513.38249292
p_110953,-122.618191,38.256057,61,3531.62752213
p_110953,-122.617705,38.25579,62,3583.47188026
p_110953,-122.61639,38.255067,63,3723.78662942
p_110953,-122.616105,38.254906,64,3754.47293877
p_110953,-122.6159,38.25479,65,3776.55805703
p_110953,-122.615116,38.254302,66,3863.98352746
p_110953,-122.614162,38.2538,67,3964.37099416
p_110953,-122.613436,38.253403,68,4041.70183075
p_110953,-122.612747,38.253006,69,4116.39445215
p_110953,-122.612027,38.252612,70,4193.10452820
p_110953,-122.611202,38.252135,71,4282.64853545
p_110953,-122.6111,38.252076,72,4293.72112810
p_110953,-122.6111,38.252076,73,4293.72112810
p_110953,-122.610996,38.252016,74,4305.00054650
p_110953,-122.610799,38.251893,75,4326.99489364
p_110953,-122.610337,38.251611,76,4378.13381213
p_110953,-122.609996,38.251416,77,4415.00435272
p_110953,-122.608062,38.25037,78,4620.28270122
p_110953,-122.607316,38.249972,79,4699.12306143
p_110953,-122.606939,38.249757,80,4739.84850784
p_110953,-122.606676,38.249607,81,4768.26000684
p_110953,-122.606161,38.249304,82,4824.50425343
p_110953,-122.605518,38.248947,83,4893.33955304
p_110953,-122.604882,38.248583,84,4962.12846093
p_110953,-122.604342,38.2483,85,5018.88374967
p_110953,-122.604162,38.248196,86,5038.41656524
p_110953,-122.603044,38.247553,87,5159.54385077
p_110953,-122.602147,38.247037,88,5256.73471625
p_110953,-122.601478,38.246652,89,5329.23212312
p_110953,-122.601097,38.246432,90,5370.56846215
p_110953,-122.600831,38.246311,91,5397.44948290
p_110953,-122.600076,38.245893,92,5478.20142673
p_110953,-122.599843,38.245763,93,5503.18631655
p_110953,-122.599861,38.245773,94,5505.11373322
p_110953,-122.597305,38.244342,95,5779.51366914
p_110953,-122.59658,38.243904,96,5859.46239831
p_110953,-122.596221,38.243686,97,5899.12626605
p_110953,-122.596076,38.243564,98,5917.68733468
p_110953,-122.596023,38.243457,99,5930.43851418
p_110953,-122.596,38.243385,100,5938.68031618
p_110953,-122.596153,38.243148,101,5968.20093756
p_110953,-122.596984,38.242263,102,6090.44049940
p_110953,-122.597099,38.242069,103,6114.21180852
p_110953,-122.597854,38.241245,104,6227.05866091
p_110953,-122.598167,38.240886,105,6275.41985593
p_110953,-122.598396,38.240634,106,6309.83435273
p_110953,-122.599975,38.238876,107,6548.97526285
p_110953,-122.600395,38.238414,108,6612.07761336
p_110953,-122.601112,38.237636,109,6718.83965248
p_110953,-122.601173,38.23756,110,6728.82402682
p_110953,-122.601699,38.236984,111,6807.61833846
p_110953,-122.602508,38.236148,112,6924.35648274
p_110953,-122.603004,38.236434,113,6978.14806502
p_110953,-122.603721,38.23685,114,7056.07563074
p_110953,-122.60501,38.237579,115,7194.93961972
p_110953,-122.605644,38.237937,116,7263.20380308
p_110953,-122.60588,38.237991,117,7284.71700867
p_110953,-122.607078,38.23867,118,7413.87113224
p_110953,-122.609672,38.240108,119,7691.45068571
p_110953,-122.609863,38.240242,120,7713.83006173
p_110953,-122.609985,38.24036,121,7730.73076772
p_110953,-122.610015,38.240432,122,7739.14331545
p_110953,-122.610076,38.24047,123,7745.94846110
p_110953,-122.610122,38.240478,124,7750.07227060
p_110953,-122.610206,38.24047,125,7757.47946192
p_110953,-122.610557,38.240585,126,7790.75366019
p_110953,-122.610733,38.24068,127,7809.42453011
p_110953,-122.611549,38.241127,128,7896.40167115
p_110953,-122.612594,38.241752,129,8011.21523555
p_110953,-122.613571,38.242298,130,8116.04107730
p_110953,-122.614402,38.242763,131,8205.23969533
p_110953,-122.615135,38.243175,132,8284.03699436
p_110953,-122.615356,38.243301,133,8307.90970316
p_110953,-122.616447,38.243907,134,8424.72776700
p_110953,-122.617126,38.244289,135,8497.74201957
p_110953,-122.617706,38.244609,136,8559.70668474
p_110953,-122.617858,38.244697,137,8576.21325748
p_110953,-122.618171,38.244873,138,8609.86469102
p_110953,-122.619491,38.245613,139,8751.63671887
p_110953,-122.620185,38.245998,140,8825.91381645
p_110953,-122.6195112989,38.2467177433,141,8925.21515140
p_110953,-122.6186059332,38.2477568684,142,9065.16251566
p_110953,-122.6190957416,38.2480893196,143,9121.73220418
p_110953,-122.6194568039,38.2483712149,144,9166.20731103
p_110953,-122.6198789928,38.2486610202,145,9215.20326049
p_110953,-122.6207582857,38.2491414306,146,9308.84009465
p_110953,-122.621704,38.248107,147,9450.39356474
p_110953,-122.6217015632,38.2481147737,148,9451.28242624
p_110953,-122.621922,38.247885,149,9483.26449970
p_110953,-122.622342,38.24739,150,9549.37576464
p_110953,-122.622445,38.247286,151,9564.02362888
p_110953,-122.622529,38.247332,152,9572.97570017
p_110953,-122.6239739901,38.2481900106,153,9731.31116814
p_110953,-122.6239714282,38.2481874964,154,9731.66918623
p_110953,-122.625808,38.249252,155,9931.18664440
p_110953,-122.625907,38.249145,156,9945.88916499
p_110953,-122.626098,38.248916,157,9976.31395978
p_110953,-122.626586,38.24826,158,10060.73574638
p_110953,-122.626968,38.247703,159,10131.02661102
p_110953,-122.627433,38.247123,160,10207.19568200
p_110953,-122.627937,38.246578,161,10282.07015199
p_110953,-122.62828,38.246253,162,10329.00585255
p_110953,-122.629203,38.245471,163,10447.59358675
p_110953,-122.629661,38.245101,164,10504.98888640
p_110953,-122.629837,38.24493,165,10529.43595981
p_110953,-122.629936,38.244823,166,10544.13877579
p_110953,-122.630874,38.243732,167,10690.45438711
p_110953,-122.631195,38.243381,168,10738.49228568
p_110953,-122.631652,38.242889,169,10806.19053300
p_110953,-122.632484,38.242038,170,10925.47188427
p_110953,-122.633392,38.241016,171,11063.99237973
p_110953,-122.633598,38.240791,172,11094.79810075
p_110953,-122.634284,38.240024,173,11198.98613799
p_110953,-122.635185,38.23904,174,11333.71545482
p_110953,-122.636047,38.238082,175,11464.11115559
p_110953,-122.636161,38.237957,176,11481.20292112
p_110953,-122.636322,38.237781,177,11505.29311612
p_110953,-122.636459,38.237617,178,11527.09334514
p_110953,-122.636871,38.237159,179,11589.42787324
p_110953,-122.637001,38.237049,180,11606.11984832
p_110953,-122.637138,38.236972,181,11620.84783920
p_110953,-122.637619,38.236804,182,11666.90327454
p_110953,-122.638099,38.236663,183,11711.74687797
p_110953,-122.638458,38.236549,184,11745.62885930
p_110953,-122.638893,38.236415,185,11786.51453585
p_110953,-122.639053,38.236366,186,11801.54138732
p_110953,-122.639114,38.236347,187,11807.28327802
p_110953,-122.639602,38.236186,188,11853.59471403
p_110953,-122.640121,38.236015,189,11902.83842262
p_110953,-122.640487,38.235912,190,11936.86040696
p_110953,-122.640548,38.2359,191,11942.36458333
p_110953,-122.641166,38.23574,192,11999.31106501
p_110953,-122.641601,38.235599,193,12040.48616782
p_110953,-122.642051,38.235446,194,12083.38860289
p_110953,-122.642509,38.235305,195,12126.43318192
p_110953,-122.642959,38.235164,196,12168.82612865
p_110953,-122.642420244,38.2340486608,197,12301.31113509
p_111320,-122.63457,38.236351,1,0.00000000
p_111320,-122.634586,38.236334,2,2.35011981
p_111320,-122.635087,38.235786,3,77.34371574
p_111320,-122.636049,38.236342,4,181.75868863
p_111320,-122.63714,38.236973,5,300.20369187
p_111320,-122.637004,38.23705,6,314.86047229
p_111320,-122.63687,38.237159,7,331.71329776
p_111320,-122.636785,38.237245,8,343.81725705
p_111320,-122.636463,38.237617,9,393.81496199
p_111320,-122.636315,38.237793,10,417.25743032
p_111320,-122.636226,38.23789,11,430.54810727
p_111320,-122.636163,38.237959,12,439.98644811
p_111320,-122.636122,38.238008,13,446.50315628
p_111320,-122.636046,38.238084,14,457.24737217
p_111320,-122.635883,38.237993,15,474.73088452
p_111320,-122.635573,38.23782,16,507.97744876
p_111320,-122.63481,38.237395,17,589.75565199
p_111320,-122.634153,38.237028,18,660.23991330
p_111320,-122.633989,38.236937,19,677.79512507
p_111320,-122.633898,38.236887,20,687.50469157
p_111320,-122.632343,38.236049,21,852.38807013
p_111320,-122.632094,38.235954,22,876.60457927
p_111320,-122.63177,38.235845,23,907.44345408
p_111320,-122.631399,38.235759,24,941.29840570
p_111320,-122.631064,38.235691,25,971.58353979
p_111320,-122.630652,38.235624,26,1008.41311203
p_111320,-122.630137,38.23559,27,1053.65939999
p_111320,-122.629777,38.23559,28,1085.17766290
p_111320,-122.629399,38.235597,29,1118.28095764
p_111320,-122.629013,38.235597,30,1152.07553630
p_111320,-122.62721,38.235551,31,1310.01209764
p_111320,-122.627087,38.235548,32,1320.78599095
p_111320,-122.625694,38.23549,33,1442.91408781
p_111320,-122.625519,38.235482,34,1458.26119971
p_111320,-122.624307,38.23542,35,1564.59582655
p_111320,-122.623511,38.235387,36,1634.38258642
p_111320,-122.623001,38.235367,37,1679.08874400
p_111320,-122.622661,38.235351,38,1708.90902078
p_111320,-122.622422,38.23533,39,1729.96315474
p_111320,-122.621917,38.23531,40,1774.23213726
p_111320,-122.621782,38.235305,41,1786.06455511
p_111320,-122.621704,38.235302,42,1792.90165318
p_111320,-122.621585,38.235289,43,1803.41968868
p_111320,-122.621583,38.235289,44,1803.59479086
p_111320,-122.621366,38.235256,45,1822.94328584
p_111320,-122.621269,38.235236,46,1831.72112009
p_111320,-122.621109,38.235202,47,1846.22879554
p_111320,-122.620981,38.235162,48,1858.28287495
p_111320,-122.620851,38.235121,49,1870.54069870
p_111320,-122.620472,38.234944,50,1909.10304917
p_111320,-122.620276,38.234852,51,1929.07192281
p_111320,-122.620233,38.234724,52,1943.77035004
p_111320,-122.619246,38.233787,53,2078.99253591
p_111320,-122.619031,38.233625,54,2105.02514094
p_111320,-122.618834,38.233497,55,2127.37157506
p_111320,-122.618568,38.233375,56,2154.31178099
p_111320,-122.618319,38.233281,57,2178.48087918
p_111320,-122.617959,38.2332,58,2211.25745937
p_111320,-122.617434,38.233112,59,2258.24956260
p_111320,-122.617039,38.233045,60,2293.62390490
p_111320,-122.616671,38.232998,61,2326.26334682
p_111320,-122.616169,38.232937,62,2370.73389258
p_111320,-122.615452,38.232849,63,2434.26550400
p_111320,-122.615203,38.232829,64,2456.17919918
